Sample,Classifier,Accuracy
Sample1,Random Forest,0.9516129032258065
Sample1,Logistic Regression,0.9193548387096774
Sample1,SVM,0.6451612903225806
Sample1,Decision Tree,0.9032258064516129
Sample1,KNN,0.8064516129032258
Sample2,Random Forest,1.0
Sample2,Logistic Regression,0.8225806451612904
Sample2,SVM,0.6290322580645161
Sample2,Decision Tree,0.9354838709677419
Sample2,KNN,0.6451612903225806
Sample3,Random Forest,0.9838709677419355
Sample3,Logistic Regression,0.9354838709677419
Sample3,SVM,0.6612903225806451
Sample3,Decision Tree,0.9193548387096774
Sample3,KNN,0.8225806451612904
Sample4,Random Forest,1.0
Sample4,Logistic Regression,0.8870967741935484
Sample4,SVM,0.6129032258064516
Sample4,Decision Tree,0.9354838709677419
Sample4,KNN,0.8709677419354839
Sample5,Random Forest,0.967741935483871
Sample5,Logistic Regression,0.9193548387096774
Sample5,SVM,0.5645161290322581
Sample5,Decision Tree,0.9516129032258065
Sample5,KNN,0.8064516129032258
